'Nakwhl hlidaa 'wihl wili'y g̲oohl wag̲ayt andoosda wil jok̲hl amxsiwaa.	'nakw @@hl hli @@daa 'wihl wil @@'y g̲oo @@hl wag̲ayt an @@doosda wil jok̲ @@hl amxsiwaa
Ii na 'wahl anhahla'lst g̲oohl Stockholm sawatdiit.	ii n 'wa @@hl an @@hahla'lst g̲oo @@hl Stockholm si @@wa @@t @@diit
Ii hahla'lsdi'y g̲oohl IBM.	ii hahla'lst @@'y g̲oo @@hl IBM
Ii hlaa k'i'yhl k'uuhl ii na sdilhl ansiip'insxwi'y g̲anhl nakst g̲oohl wag̲ayt Spain 'wayi'm.	ii hlaa k'i'y @@hl k'uuhl ii n sdil @@hl an @@siip' @@in @@sxw @@'y g̲an @@hl naks @@t g̲oo @@hl wag̲ayt Spain 'wa @@i @@'m
Ii hlaa guxws luu yaltxu'm ii basax̲xu'm g̲oohl Denmark.	ii hlaa guxws luu yalt @@xw @@'m ii baasax̲ @@xw @@'m g̲oo @@hl Denmark
Ii na yuxwhl train ii yee'y g̲oohl Stockholm.	ii n yuxw @@hl train ii yee @@'y g̲oo @@hl Stockholm
Ii hlaa bagu'm g̲oohl Stockholm ii ha'wi'y.	ii hlaa bakw @@'m g̲oo @@hl Stockholm ii ha'w @@'y
Ii 'nakwhl 'wihl wili'm, gwila'lhl g̲anuutxw, g̲an wihl needii lax̲'nisxwi'y g̲oohl Gigeenix.	ii 'nakw @@hl 'wihl wil @@'m gwila'l @@hl g̲anuutxw g̲an wil @@hl nee @@dii lax̲'ni @@sxw @@'y g̲oo @@hl gi @@geenix
Ii yee'y g̲oohl anhahla'lsdi'y.	ii yee @@'y g̲oo @@hl an @@hahla'lst @@'y
Ap yukwhl ha'niisgwaa'ytxw.	ap yukw @@hl ha @@'nii @@sgwaa'ytxw
Ii neediit naa dim 'witxwit.	ii nee @@dii @@t naa dim 'witxw @@it
Ii yee'y loot nii dok̲hl mail'y.	ii yee @@'y loo @@t n @@ii dok̲ @@hl mail'y
Ii hlag̲ook̲ dim ha'wi'y ii ky'aa isxwi'y g̲oohl wilp xseek̲.	ii hla @@g̲ook̲ dim ha'w @@'y ii ky'aa isxw @@'y g̲oo @@hl wilp xseek̲
Ii daayimaahl wili'y g̲an wina sg̲at'akwhl aats'ip.	ii daa @@imaa @@hl wil @@'y g̲an wil @@ni sg̲a @@t'akw @@hl aats'ip
Ii hlaa yukwhl dim xsawi'y ii needii 'nim k̲'ak̲hl aats'ip.	ii hlaa yukw @@hl dim xsaxw @@'y ii nee @@dii 'nim k̲'ak̲ @@hl aats'ip
Ii xsi hlguxwsxwi'y, ii lip ligi agwihl bag̲a'y, ii ap neet.	ii xsi hlguxws @@xw @@'y ii lip ligi agwi @@hl bak̲ @@a @@'y ii ap nee @@t
Ii k̲'aa 'nii giihli'y lax̲ ha'niiwan.	ii k̲'aa 'nii giihl @@'y lax̲ ha @@'nii @@wan
Ak̲hl ligi 'wihl he'y.	ak̲ @@hl ligi 'wihl he @@'y
Ii 'nii yatshl pipe-- nii gya'a wil sgihl pipe aloohl ha'niiyo'oxsxw.	ii 'nii yats @@hl pipe n @@ii gya'a wil sgi @@hl pipe a @@loo @@hl ha @@'nii @@yo'oxs @@xw
Nii xhlii guut iin yatshl pole loot, upja ligi 'wihl wihl ligit naa.	n @@ii xhlii guu @@t ii @@n yats @@hl pole loo @@t up @@ji ligi 'wihl wil @@hl ligi @@t naa
Ii neediit naa ji 'witxwit.	ii nee @@dii @@t naa ji 'witxw @@it
Agwiyukwhl ha'niisgwaa'ytxwhl g̲an wihl neediit naa ji hahla'ljit.	agwiyukw @@hl ha @@'nii @@sgwaa'ytxw @@hl g̲an wil @@hl nee @@dii @@t naa ji hahla'lst @@it
"Ii hehl t'ilx̲ootxwi'y, ""Dim aam dim wili'y, yukwhl bax̲hl aks."""	ii he @@hl t'ilx̲oo @@txw @@'y dim aam dim wil @@'y yukw @@hl bax̲ @@hl aks
"""Ii ak̲hl ligi 'wihl baasxi'y g̲oosun."""	ii ak̲ @@hl ligi 'wihl baasx @@i @@'y g̲oo @@s @@xwin
Ii giihli'y, ii si'ix wok̲si'y.	ii giihl @@'y ii si'ix wok̲ @@s @@'y
Ii ap neet, g̲an wina guuhl hlgu pipe gi nii yatshl aats'ip loot.	ii ap nee @@t g̲an wil @@na guu @@hl hlgu pipe gi n @@ii yats @@hl aats'ip loo @@t
Ii hlaa amhl g̲a'nagwit iin gya'ahl g̲adaaxhl wilp xseek̲.	ii hlaa am @@hl g̲a @@'nakw @@it ii @@n gya'a @@hl g̲adaax @@hl wilp xseek̲
Nii japhl 'wii luu no'o dim xsi yuwi'y, ii 'nithl wili'y.	n @@ii jap @@hl 'wii luu no'o dim xsi yuxw @@i @@'y ii 'nit @@hl wil @@'y
Hlaa xsa'ak̲xwi'y 'nii g̲ayoo ts'imil t'aahlihl jabi'y g̲oohl ts'im wilp xseek̲.	hlaa xsi @@'ak̲xw @@'y n @@ii g̲ay @@hoo ts'imil t'aahl @@i @@hl jap @@i @@'y g̲oo @@hl ts'im wilp xseek̲
Hlaa yukwhl hahla'lsdi'm ii ha'niig̲oodi'y wihl ii'uxwt g̲anwilat 'nii yuxwdiithl office'y.	hlaa yukw @@hl hahla'lst @@'m ii ha @@'nii @@g̲oot @@'y wil @@hl ii'uxwt g̲ani @@wila @@t 'nii yuxw @@diit @@hl office @@'y
"Ii hediit, ""Oo, 'nit Canadanska flika tun ant kw'asinhl wilp xseek̲."""	ii he @@diit oo 'nit Canadanska flika t @@un an @@t kw'as @@in @@hl wilp xseek̲